Тип вакансии;Название вакансии;Мин. зарплата (рублей);Макс. зарплата (рублей);Тип зарплаты;Требуемый опыт (лет);Город;Компания;Требуемые навыки;Дата публикации
DevOps инженер;DevOps-инженер (Senior);;;;3.0;городской округ Химки;АО Международный аэропорт Шереметьево;DevOps, CI/CD, Gitlab, Jenkins, SRE Kubernetes, Senior Linux administrator;09.06.2026
DevOps инженер;DevOps/SRE инженер;;;;;Ростов-на-Дону;ЗАЗЕКС;DevOps, Gitlab, Linux, Docker, Kubernetes, Git, Nginx, Bash, Grafana, Jenkins, Ansible;09.06.2026
DevOps инженер;Ведущий DevOps-инженер;;;;;Москва;ООО А7-ТЕХНОЛОГИИ;Linux, Docker, Kubernetes, Ansible, Jenkins, Zabbix;09.06.2026
DevOps инженер;DevOps-инженер (DWH);;;;3.0;Москва;ООО Ит-Финанс;;09.06.2026
DevOps инженер;Senior DevOps-инженер;;;;3.0;Москва;Ситидрайв;Kubernetes, CI/CD, Ansible, Apache Kafka, Redis, IT;09.06.2026
DevOps инженер;DevOps инженер (ученик);70000;;gross;;Краснодар;Aston;Linux, IaC, CI/CD, NETWORK, Jenkins, Администрирование серверов Linux, ORACLE, MS SQL, DevOps, Azure, CircleCI, Администрирование, Настройка серверов, Настройка ПО, Настройка сетевых подключений, Локальные сети, Администрирование сетевого оборудования, Сборка ПК, Ответственность, Внимательность, Docker, Bash, Python, Git, Пользователь ПК, Деловое общение, Обучение, Информационные технологии;09.06.2026
DevOps инженер;Junior DevOps-инженер;80000;100000.0;net;;Москва;ООО Бизнес Совет;Docker, Git;07.06.2026
DevOps инженер;Middle DevOps-инженер (ML/AI, DevSecOps, MLSecOps);;;;;Москва;ПАО Банк ПСБ, ИТ;DevOps, Docker, CI/CD;08.06.2026
DevOps инженер;Team Lead DevOps;;;;;Москва;Юрент;Linux, Kubernetes, Управление командой, Teamleading;08.06.2026
DevOps инженер;DevOps (Avanpost CloudMFA);;;;3.0;Москва;Avanpost;Инженер SRE, DevOps, PostgreSQL, Golang, Kubernetes, Helm, Prometheus, CI/CD, Vault, Istio, Linux, Terraform;08.06.2026
DevOps инженер;DevOps-инженер в отдел эксплуатации инфраструктуры;;;;3.0;Москва;Московский метрополитен;Kubernetes, Ansible, Docker, Linux, Bash, DevOps;08.06.2026
DevOps инженер;DevOps / DevSecOps Engineer (проектная работа);;;;;Москва;Printum;GitLab CI;09.06.2026
DevOps инженер;DevOps-инженер (middle+/senior);;;;;Москва;ООО ОМНИДАТА;Docker, Kubernetes, Gitlab, CI/CD, Helm, DNS, FreeIPA, Keycloak, Grafana, Prometheus, Kafka, RabbitMQ, PostgreSQL, Bash, Python;07.06.2026
DevOps инженер;DevOps-инженер в подразделение информационной безопасности;;;;;Екатеринбург;ПАО «Газпром нефть» ИТ;Linux, Информационная безопасность, Docker, Kubernetes, PostgreSQL, Unix, Администрирование серверов Linux, Bash, Ansible, DevOps;08.06.2026
DevOps инженер;DevOps-инженер (Laravel / Docker / Ansible / GitLab CI);;200000.0;net;3.0;Санкт-Петербург;Dataloft;Terraform, Ansible, GitLab CI, Docker, Docker-compose, Linux, Bash, Yandex Cloud, Laravel, MySQL, PostgreSQL, Redis, DevOps, CI/CD;08.06.2026
DevOps инженер;Старший инженер инфраструктуры и DevOps (GCP, Kubernetes);300000;;gross;3.0;Москва;Amagasa;;08.06.2026
DevOps инженер;Middle DevOps Engineer (SaaS, e-comm);;;;3.0;Москва;Any;DevOps, CI/CD, Docker, ELK, Gitlab, Apache Kafka, Kubernetes, Prometheus, SQL, Bash, GitLab CI, Terraform, Ansible, HAProxy;08.06.2026
DevOps инженер;DevOps Engineer (Middle+/Senior);200000;300000.0;net;;Москва;ДЖЕЙКЕТ;Знание алгоритмов, Использование фреймворков, Написание кода, Оптимизация производительности, Проведение тестирования, Работа с базами данных, Разработка архитектуры приложений;07.06.2026
DevOps инженер;DevOps-инженер;;;;3.0;Железнодорожный  (Московская область);JFoRecruitment;DevOps, CI/CD, 1С, Vanessa Automation, Onescript, oScript, Kubernetes, K8S, Gitlab, Prometheus, Grafana, SonarQube, Nginx, Traefik;05.06.2026
DevOps инженер;DevOps инженер;;250000.0;gross;3.0;Москва;Data World;;05.06.2026
DevOps инженер;DevOps-инженер;;;;;Уфа;Группа компаний СКС;Kubernetes, Zabbix, Docker, CI/CD, Prometheus, Grafana, PowerShell, Hyper-V, C#, Точность и внимательность к деталям, Работа с большим объемом информации, 1С, Работа с базами данных, Мониторинг;05.06.2026
DevOps инженер;DevOps инженер;;;;;Казань;ООО ГИСГИС;;05.06.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;ПАО Московская Биржа;Python, Linux, DevOps, SQL, PostgreSQL;05.06.2026
DevOps инженер;DevOps-инженер;;487500.0;gross;;Москва;Lenkep recruitment;Zabbix, Grafana, ZTNA, Docker;05.06.2026
DevOps инженер;DevOps-инженер;;;;;Ижевск;АО ЭДС;DevOps, CI/CD, GitLab CI, Docker, Kubernetes, Ansible, Trivy, Vault, Grafana, Микросервисная архитектура, Harbor, Nexus, Helm, Bash, Python, PowerShell, Terraform;05.06.2026
DevOps инженер;DevOps-инженер (Middle);179000;253000.0;gross;;Владивосток;DNS Технологии;Kubernetes, Linux, Docker, DevOps, Git, Puppet, Gitlab, Helm, Ansible;03.06.2026
DevOps инженер;DevOps-инженер;;;;;Москва;T2. IT и Digital;Linux, ELK, K8S, Docker, Ansible;01.06.2026
DevOps инженер;Инженер по автоматизации процессов разработки (DevOps);;;;3.0;Химки;ББР Банк;Prometheus, Grafana, Loki, OpenTelemetry, vLLM, LangChain, Python, Bash, Docker;05.06.2026
DevOps инженер;Главный инженер DevOps;;;;3.0;Москва;МАГНИТ, Розничная сеть. IT;Docker, Linux, Kubernetes;02.06.2026
DevOps инженер;DevOps инженер (SRE);;;;;Краснодар;WILIX;DevOps, Kubernetes, Базы данных, Gitlab, Работа с базами данных, Docker, Python, Bash, Linux, Terraform, Работа с большим объемом информации, Big Data, MS SQL, SQL;02.06.2026
DevOps инженер;DevOps-инженер в WB ID;;;;;Москва;RWB (Wildberries & Russ);Kubernetes, Linux, DevOps;04.06.2026
DevOps инженер;DevOps-инженер (офис);;;;3.0;Москва;Криптонит;Linux, Docker, Kubernetes, СУБД, DevOps;02.06.2026
DevOps инженер;DevOps инженер (Hadoop);;;;3.0;Москва;ООО HeadHunter::Infrastructure engineers;;02.06.2026
DevOps инженер;Devops инженер (облачные сервисы);;;;3.0;Москва;ЗАО 1С;Linux, DevOps, Docker, Bash, PostgreSQL;03.06.2026
DevOps инженер;DevOps-инженер (Data Platform);;;;;Москва;edna;Kubernetes, Big Data, Базы данных, Apache Airflow, Spark, Ansible, Terraform, CI/CD, Apache Kafka, ORACLE, PostgreSQL, Redis;03.06.2026
DevOps инженер;Инженер по инфраструктуре (DevOps);;;;;Москва;ПАО Ростелеком;Linux, Doker, TCP/IP, Astra Linux, CI/CD, VPN, k8s, prometeus, Grafana, LPIC1, CCNA, CCNP;03.06.2026
DevOps инженер;Middle+ / Senior DevOps-инженер;200000;;gross;;Санкт-Петербург;RedLab;PostgreSQL, SQL, DevOps, Kubernetes, Apache Kafka, RabbitMQ, Docker, Redis, Grafana;03.06.2026
DevOps инженер;DevOps-инженер (Департамент ML);;;;3.0;Москва;АльфаСтрахование. ИТ;DevOps, Bash, Ansible, Gitlab, Hadoop, Kubernetes;03.06.2026
DevOps инженер;DevOps инженер;;;;;Пермь;Galileosky;Kubernetes, Gitlab, CI/CD, DevOps;25.05.2026
DevOps инженер;DevOps / Системный администратор;;60000.0;net;;Рязань;ООО Синьор Софт;Linux, Docker, Bash, Nginx, Настройка DNS, PostgreSQL, DevOps, Администрирование серверов Linux, Zabbix, SQL;01.06.2026
DevOps инженер;DevOps Engineer (Middle /Senior);200000;;net;3.0;Москва;TechSearch;Java, SQL, Git, Linux, Microservices, RabbitMQ, Kafka, Docker, CI/CD, Spring Boot, Spring Framework, REST API, Apache Maven;30.05.2026
DevOps инженер;DevOps Engineer;140000;;net;;Москва;Кадровое агентство HireWay;DevOps;25.05.2026
DevOps инженер;DevOps-инженер (инженер-программист);;;;3.0;Иннополис;СИСТЭМ ЭЛЕКТРИК;;28.05.2026
DevOps инженер;Senior DevOps Engineer;;;;3.0;Москва;АО Гознак. Информационные технологии;Linux, SQL, Базы данных, PostgreSQL, Docker, Kubernetes, Ansible, DevOps, Git, Terraform, Helm, Prometheus, Grafana;28.05.2026
DevOps инженер;DevOps Engineer;225000;;net;3.0;Москва;Харанутов Антон Евгеньевич;DevOps, Linux, Nginx, Bash, Английский — B1 — Средний;24.05.2026
DevOps инженер;Руководитель ИТ-инфраструктуры и DevOps / Head of IT Platform & Operations;300000;350000.0;net;3.0;посёлок Дружный;Провенто, ГК;;05.06.2026
DevOps инженер;DevOps Engineer (MLOps);;;;;Москва;SSP SOFT;Linux, PostgreSQL, Bash, Git, Docker, Ansible, Kafka, Grafana, Prometheus, Zabbix, Spark, Apache Airflow, Apache NiFi;27.05.2026
DevOps инженер;DevOps engineer;;;;;Санкт-Петербург;АО ИСТ;Git, Linux, Bash, Python;24.05.2026
DevOps инженер;Руководитель группы DevOps;;;;;Томск;Центральный банк Российской Федерации (Банк России);CentOS, Debian, Bash, Linux, Kubernetes, DevOps, PostgreSQL, ORACLE, Kafka, Jenkins, Python, Gitlab, Управление командой, OpenShift;31.05.2026
DevOps инженер;Ведущий DevOps-инженер (infrastructure);;;;;Москва;BetBoom.IT;Kubernetes;28.05.2026
DevOps инженер;DevOps-инженер (junior);80000;140000.0;gross;;Псков;ООО НАСКА;Linux, Bash, Python, Git, Docker, GitHub, Ansible, PostgreSQL, Tc, TCP/IP, DNS, HTTP, HTTPS, SSH, VPN, Английский — A1 — Начальный;26.05.2026
DevOps инженер;DevOps-инженер;;;;;Москва;Скала^р;Docker, Kafka, Linux;22.05.2026
DevOps инженер;Инженер инфраструктуры/DevOps Middle+;;;;3.0;Санкт-Петербург;KASSIR.RU;DevOps, Jenkins, Kubernetes, PostgreSQL;28.05.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;ALP GROUP;Инженерная инфраструктура и сети, ИТ-инфраструктура, Python, Bash, Gitlab, Docker, Kubernetes, Ansible, Prometheus, RabbitMQ, Apache Kafka, Redis;22.05.2026
DevOps инженер;DevOps-инженер;;;;3.0;Казань;BIV;;16.05.2026
DevOps инженер;DevOps-инженер;;;;3.0;Череповец;BIV;;16.05.2026
DevOps инженер;DevOps / SRE инженер;;;;3.0;Москва;Qualitica;Linux, DevOps, SRE, Kubernetes, Docker, CI/CD;21.05.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;ООО Ростелеком Информационные Технологии;Linux, DevOps, Контейнеризация;15.05.2026
DevOps инженер;DevOps engineer (LBOSSE);;;;3.0;Москва;SberTech;;21.05.2026
DevOps инженер;Администратор/DevOps инженер (ДКА);250000;;gross;3.0;Москва;Сбер. IT;;23.05.2026
DevOps инженер;Старший devOps-инженер;;;;3.0;Москва;РТЛабс;;20.05.2026
DevOps инженер;DevOps-инженер в Data platform;;;;3.0;Москва;Национальная Лотерея;;25.05.2026
DevOps инженер;DevOps-инженер (Kubernetes / CI/CD);250000;;net;3.0;Москва;Lenkep recruitment;DevOps, SQL, Kubernetes, Docker, Ansible, GitLab CI, Linux, LDAP, Yandex Cloud, Terraform;25.05.2026
DevOps инженер;DevOps-инженер;300000;470000.0;net;3.0;Москва;Coleman Group;Kubernetes, Kafka, Prometheus, Grafana, ELK, CI/CD, Английский — A2 — Элементарный;15.05.2026
DevOps инженер;DevOps-инженер;;;;3.0;Санкт-Петербург;ООО Нетрика Медицина;Linux, Gitlab, Jenkins, TeamCity, RabbitMQ, SQL, PostgreSQL, Zabbix, Nginx, Администрирование серверов Linux, Atlassian Jira, DevOps, ELK, API, СУБД, Kafka, Elasticsearch, REST, Apache HTTP Server;15.05.2026
DevOps инженер;DevOps инженер (стажер);70000;;gross;;Ростов-на-Дону;Aston;Linux, IaC, CI/CD, NETWORK, Jenkins, Администрирование серверов Linux, ORACLE, MS SQL, DevOps, Azure, CircleCI, Администрирование, Настройка серверов, Настройка ПО, Настройка сетевых подключений, Локальные сети, Администрирование сетевого оборудования, Сборка ПК, Ответственность, Внимательность, Docker, Bash, Python, Git;20.05.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;ООО МКК Луна;Linux;15.05.2026
DevOps инженер;Системный инженер/DevOps;;;;3.0;Новосибирск;АО ЭДС;Администрирование серверов на базе Linux, Маршрутизация, FIrewall, VPN, Prometheus, Grafana, Zabbix, Управление доступами, Bash, Python, TCP/IP, DNS, HTTP/S, VLAN, VMware, KVM, Proxmox, Docker;20.05.2026
DevOps инженер;Руководитель группы DevOps 1С;180000;250000.0;net;3.0;Новосибирск;ООО Майгрин Маркет;1С: Предприятие, Администрирование баз данных, ESB, REST, CI/CD, Git, HTTP, RabbitMQ, SQL, Grafana, Prometheus;30.05.2026
DevOps инженер;Инженер по информационной безопасности (автоматизация и эксплуатация СЗИ)/DevOps;;;;;Санкт-Петербург;СБЕРКОРУС;SIEM, Информационная безопасность, Kaspersky, WAF, Linux, Windows Server, Администрирование серверов Linux;29.05.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;Национальный исследовательский университет Высшая школа экономики;Английский — A2 — Элементарный;15.05.2026
DevOps инженер;DevOps Engineer (Gamedev);;;;;Санкт-Петербург;ООО Паттернмастерс;Linux, Docker, PostgreSQL, Kubernetes, Kafka, RabbitMQ;13.05.2026
DevOps инженер;DevOps-инженер в стрим АиВ;;;;3.0;Нижний Новгород;Т1 Иннотех;Apache Kafka, Jenkins, Linux, Kubernetes, Ansible, PostgreSQL, Git;18.05.2026
DevOps инженер;DevOps инженер/Tech lead 1С;;;;;Москва;ООО Транснефть-Технологии;Linux, PostgreSQL, Kubernetes, Python, Git, СУБД, Bash, DevOps, Разработка ПО, HTTP, Gitlab, Нагрузочное тестирование, GitLab CI, Windows Server;20.05.2026
DevOps инженер;Ведущий инженер DevOps (Астра Облако);;;;;Москва;Группа компаний Астра;Linux, Kubernetes, Bash, Ansible, KVM, Zabbix, Terraform;18.05.2026
DevOps инженер;DevOps инженер (AI-агент);;;;3.0;Москва;Сбер. IT;;15.05.2026
DevOps инженер;Team lead DevOps (HR платформа);350000;;gross;;Москва;Сбер. IT;;25.05.2026
DevOps инженер;Middle/Senior DevOps Engineer (PaaS App.Farm);;;;3.0;Москва;ООО РСХБ-Интех;Kubernetes, Docker, Linux, DevOps, Git, Go, Grafana, Kafka, GitLab CI, RabbitMQ, Python, Bash, ELK, Apache Kafka;21.05.2026
DevOps инженер;DevOps Engineer (KFP);;;;3.0;Москва;Лаборатория Касперского;Linux, Docker, Kubernetes;12.05.2026
DevOps инженер;Стажер Product-инженер (DevOps);;;;;Москва;Крупный технологичный банк;Linux, Bash, Docker, Kubernetes, Git;14.05.2026
DevOps инженер;Администратор 1С/DevOps/Инженер 1С;;;;3.0;Москва;ПАО Ростелеком;;21.05.2026
DevOps инженер;Senior DevOps Engineer;;;;3.0;Москва;АИМОР;;11.05.2026
DevOps инженер;Руководитель группы devops-инженеров;;;;;Санкт-Петербург;Okko;Jenkins, Kubernetes, Terraform, Python, Groovy, Linux, Управленческие навыки;13.05.2026
DevOps инженер;DevOps специалист;100000;120000.0;net;;Санкт-Петербург;ИП Козырев Артем Сергеевич;DevOps, Git, Docker, PostgreSQL, Nginx, CI/CD, SQL;27.05.2026
